name,url,city,type,established,beverage_count
 Ghost Harbor Brewing Company,https://www.ratebeer.com/brewers/ghost-harbor-brewing-company/35092/,Elizabeth City,Microbrewery,2018,   35
 Ghostface Brewing,https://www.ratebeer.com/brewers/ghostface-brewing/26935/,Mooresville,Brewpub/Brewery,2016,   75
 Gilde 1546,https://www.ratebeer.com/brewers/gilde-1546/42492/,Cornelius,Commercial Brewery,2020,   4
 Ginger's Revenge,https://www.ratebeer.com/brewers/ginger39s-revenge/31224/,Asheville ,Commercial Brewery,2017,   14
 Gizmo Brew Works,https://www.ratebeer.com/brewers/gizmo-brew-works/11991/,Raleigh,Microbrewery,2010,   107
 Good Hops Brewing,https://www.ratebeer.com/brewers/good-hops-brewing/20276/,Carolina Beach,Microbrewery,2014,   27
 Goofy Foot Taproom & Brewery,https://www.ratebeer.com/brewers/goofy-foot-taproom-brewery/38701/,High Point,Brewpub,2019,   9
 Goose And The Monkey Brewhouse,https://www.ratebeer.com/brewers/goose-and-the-monkey-brewhouse/42700/,Lexington,Microbrewery,2020,   41
 Granite Falls Brewing Company,https://www.ratebeer.com/brewers/granite-falls-brewing-company/19187/,Granite Falls,Brewpub/Brewery,2014,   48
 Green Man Brewery,https://www.ratebeer.com/brewers/green-man-brewery/4476/,Asheville,Microbrewery,2004,   189
 Guidon Brewing Company,https://www.ratebeer.com/brewers/guidon-brewing-company/49585/,Hendersonville,Commercial Brewery,2019,   6
 Gypsy Road Brewing Company,https://www.ratebeer.com/brewers/gypsy-road-brewing-company/39994/,Kernersville,Microbrewery,2019,   23
 Hatchet Brewing Company,https://www.ratebeer.com/brewers/hatchet-brewing-company/41848/,Southern Pines,Microbrewery,2019,   24
 Haw River Farmhouse Ales,https://www.ratebeer.com/brewers/haw-river-farmhouse-ales/18655/,Saxapahaw,Microbrewery,2014,   129
 Hayesville Brewing Company,https://www.ratebeer.com/brewers/hayesville-brewing-company/35301/,Hayesville,Brewpub,2018,   8
 Heckler Brewing Company,https://www.ratebeer.com/brewers/heckler-brewing-company/46829/,Fayetteville,Microbrewery,2021,   6
 Heist Brewery,https://www.ratebeer.com/brewers/heist-brewery/15791/,Charlotte,Brewpub/Brewery,2012,   247
 Hell on Horsecreek Brewing,https://www.ratebeer.com/brewers/hell-on-horsecreek-brewing/42307/,Madison,Brewpub/Brewery,2020,   15
 Heyday Brewing,https://www.ratebeer.com/brewers/heyday-brewing/47213/,Raleigh,Brewpub/Brewery,2021,   7
 Hi-Wire Brewing,https://www.ratebeer.com/brewers/hi-wire-brewing/16850/,Asheville,Microbrewery,2013,   328
 Hickory Nut Gorge Brewery,https://www.ratebeer.com/brewers/hickory-nut-gorge-brewery/28481/,Chimney Rock,Microbrewery,2016,   13
 High Branch Brewing Company,https://www.ratebeer.com/brewers/high-branch-brewing-company/25212/,Concord,Microbrewery,2015,   66
 Highland Brewing Company,https://www.ratebeer.com/brewers/highland-brewing-company/1264/,Asheville,Microbrewery,1994,   180
 Hillman Beer,https://www.ratebeer.com/brewers/hillman-beer/31098/,Asheville,Commercial Brewery,2017,   35
 Homeplace Beer Company,https://www.ratebeer.com/brewers/homeplace-beer-company/32825/,Burnsville,Microbrewery,2017,   18
 Hoots Beer Co.,https://www.ratebeer.com/brewers/hoots-beer-co/19119/,Winston-Salem,Microbrewery,2014,   38
 HopFly Brewing Company,https://www.ratebeer.com/brewers/hopfly-brewing-company/37157/,Rocky Mount,Commercial Brewery,2018,   82
 Hoppy Trout Brewing Company,https://www.ratebeer.com/brewers/hoppy-trout-brewing-company/25777/,Andrews,Brewpub,2016,   22
 Hoptown Brewing Company (NC),https://www.ratebeer.com/brewers/hoptown-brewing-company-nc/50424/,Mooresvile,Microbrewery,2022,   4
 Hugger Mugger Brewing Company,https://www.ratebeer.com/brewers/hugger-mugger-brewing-company/35064/,Sanford,Brewpub,2018,   28
 Huske Hardware House,https://www.ratebeer.com/brewers/huske-hardware-house/4647/,Fayetteville,Brewpub,2004,   36
 Incendiary Brewing,https://www.ratebeer.com/brewers/incendiary-brewing/37050/,Winston-Salem,Microbrewery,2018,   53
