name,city,type,beercount,est,url
 Eurisko Beer Company,Asheville,Microbrewery,   59,2018,https://www.ratebeer.com/brewers/eurisko-beer-company/34932/
 Fainting Goat Brewery,Fuqua-Varina,Microbrewery,   20,2016,https://www.ratebeer.com/brewers/fainting-goat-brewery/28703/
 Fiddlin' Fish Brewing Company,Winston-Salem,Microbrewery,   33,2017,https://www.ratebeer.com/brewers/fiddlin-fish-brewing-company/32875/
 Fishtowne Brew House,Beaufort,Microbrewery,   5,2018,https://www.ratebeer.com/brewers/fishtowne-brew-house/37992/
 Flying Machine Brewing Company,Wilmington,Microbrewery,   52,2018,https://www.ratebeer.com/brewers/flying-machine-brewing-company/37993/
 Flytrap Brewing,Wilmington,Microbrewery,   51,2014,https://www.ratebeer.com/brewers/flytrap-brewing/21157/
 Fonta Flora Brewery,Morganton,Microbrewery,   293,2014,https://www.ratebeer.com/brewers/fonta-flora-brewery/18711/
 Foothills Brewing,Winston-Salem,Brewpub/Brewery,   152,2005,https://www.ratebeer.com/brewers/foothills-brewing/6033/
 Forgotten Road Ales,Graham,Brewpub/Brewery,   24,2019,https://www.ratebeer.com/brewers/forgotten-road-ales/40353/
 Fortnight Brewing Company,Cary,Brewpub/Brewery,   45,2014,https://www.ratebeer.com/brewers/fortnight-brewing-company/18773/
 Four Saints Brewing Company,Asheboro,Microbrewery,   57,2013,https://www.ratebeer.com/brewers/four-saints-brewing-company/17143/
 Fourth Creek Brewing,Statesville,Microbrewery,   18,2019,https://www.ratebeer.com/brewers/fourth-creek-brewing/38648/
 Free Range Brewing,Charlotte,Microbrewery,   93,2015,https://www.ratebeer.com/brewers/free-range-brewing/23600/
 French Broad Brewing,Asheville,Microbrewery,   43,2002,https://www.ratebeer.com/brewers/french-broad-brewing/2879/
 Frog Level Brewing Company,Waynesville,Microbrewery,   26,2011,https://www.ratebeer.com/brewers/frog-level-brewing-company/13723/
 Front Street Brewery (NC),Wilmington,Brewpub,   85,1995,https://www.ratebeer.com/brewers/front-street-brewery-nc/3066/
 Fullsteam Brewery,Durham,Microbrewery,   199,2009,https://www.ratebeer.com/brewers/fullsteam-brewery/10570/
 Funguys Brewing,Raleigh,Microbrewery,   28,2018,https://www.ratebeer.com/brewers/funguys-brewing/36558/
 Ghost Harbor Brewing Company,Elizabeth City,Microbrewery,   35,2018,https://www.ratebeer.com/brewers/ghost-harbor-brewing-company/35092/
 Ghostface Brewing,Mooresville,Brewpub/Brewery,   75,2016,https://www.ratebeer.com/brewers/ghostface-brewing/26935/
 Gilde 1546,Cornelius,Commercial Brewery,   4,2020,https://www.ratebeer.com/brewers/gilde-1546/42492/
 Ginger's Revenge,Asheville ,Commercial Brewery,   14,2017,https://www.ratebeer.com/brewers/ginger39s-revenge/31224/
 Gizmo Brew Works,Raleigh,Microbrewery,   107,2010,https://www.ratebeer.com/brewers/gizmo-brew-works/11991/
 Good Hops Brewing,Carolina Beach,Microbrewery,   27,2014,https://www.ratebeer.com/brewers/good-hops-brewing/20276/
 Goofy Foot Taproom & Brewery,High Point,Brewpub,   9,2019,https://www.ratebeer.com/brewers/goofy-foot-taproom-brewery/38701/
 Goose And The Monkey Brewhouse,Lexington,Microbrewery,   41,2020,https://www.ratebeer.com/brewers/goose-and-the-monkey-brewhouse/42700/
 Granite Falls Brewing Company,Granite Falls,Brewpub/Brewery,   48,2014,https://www.ratebeer.com/brewers/granite-falls-brewing-company/19187/
 Green Man Brewery,Asheville,Microbrewery,   189,2004,https://www.ratebeer.com/brewers/green-man-brewery/4476/
 Guidon Brewing Company,Hendersonville,Commercial Brewery,   6,2019,https://www.ratebeer.com/brewers/guidon-brewing-company/49585/
 Gypsy Road Brewing Company,Kernersville,Microbrewery,   23,2019,https://www.ratebeer.com/brewers/gypsy-road-brewing-company/39994/
 Hatchet Brewing Company,Southern Pines,Microbrewery,   24,2019,https://www.ratebeer.com/brewers/hatchet-brewing-company/41848/
 Haw River Farmhouse Ales,Saxapahaw,Microbrewery,   129,2014,https://www.ratebeer.com/brewers/haw-river-farmhouse-ales/18655/
 Hayesville Brewing Company,Hayesville,Brewpub,   8,2018,https://www.ratebeer.com/brewers/hayesville-brewing-company/35301/
 Heckler Brewing Company,Fayetteville,Microbrewery,   6,2021,https://www.ratebeer.com/brewers/heckler-brewing-company/46829/
 Heist Brewery,Charlotte,Brewpub/Brewery,   247,2012,https://www.ratebeer.com/brewers/heist-brewery/15791/
 Hell on Horsecreek Brewing,Madison,Brewpub/Brewery,   15,2020,https://www.ratebeer.com/brewers/hell-on-horsecreek-brewing/42307/
 Heyday Brewing,Raleigh,Brewpub/Brewery,   7,2021,https://www.ratebeer.com/brewers/heyday-brewing/47213/
 Hi-Wire Brewing,Asheville,Microbrewery,   328,2013,https://www.ratebeer.com/brewers/hi-wire-brewing/16850/
 Hickory Nut Gorge Brewery,Chimney Rock,Microbrewery,   13,2016,https://www.ratebeer.com/brewers/hickory-nut-gorge-brewery/28481/
 High Branch Brewing Company,Concord,Microbrewery,   66,2015,https://www.ratebeer.com/brewers/high-branch-brewing-company/25212/
 Highland Brewing Company,Asheville,Microbrewery,   180,1994,https://www.ratebeer.com/brewers/highland-brewing-company/1264/
 Hillman Beer,Asheville,Commercial Brewery,   35,2017,https://www.ratebeer.com/brewers/hillman-beer/31098/
 Homeplace Beer Company,Burnsville,Microbrewery,   18,2017,https://www.ratebeer.com/brewers/homeplace-beer-company/32825/
 Hoots Beer Co.,Winston-Salem,Microbrewery,   38,2014,https://www.ratebeer.com/brewers/hoots-beer-co/19119/
 HopFly Brewing Company,Rocky Mount,Commercial Brewery,   82,2018,https://www.ratebeer.com/brewers/hopfly-brewing-company/37157/
 Hoppy Trout Brewing Company,Andrews,Brewpub,   22,2016,https://www.ratebeer.com/brewers/hoppy-trout-brewing-company/25777/
 Hoptown Brewing Company (NC),Mooresvile,Microbrewery,   4,2022,https://www.ratebeer.com/brewers/hoptown-brewing-company-nc/50424/
 Hugger Mugger Brewing Company,Sanford,Brewpub,   28,2018,https://www.ratebeer.com/brewers/hugger-mugger-brewing-company/35064/
 Huske Hardware House,Fayetteville,Brewpub,   36,2004,https://www.ratebeer.com/brewers/huske-hardware-house/4647/
 Incendiary Brewing,Winston-Salem,Microbrewery,   53,2018,https://www.ratebeer.com/brewers/incendiary-brewing/37050/
 Innovation Brewing,Sylva,Microbrewery,   108,2014,https://www.ratebeer.com/brewers/innovation-brewing/19953/
 Ironclad Brewery,Wilmington,Microbrewery,   36,2015,https://www.ratebeer.com/brewers/ironclad-brewery/22969/
 Jolly Roger Brew,Mooresville,Microbrewery,   1,2018,https://www.ratebeer.com/brewers/jolly-roger-brew/37994/
 Joymongers Brewing Company,Greensboro,Brewpub/Brewery,   65,2016,https://www.ratebeer.com/brewers/joymongers-brewing-company/28108/
 Kernersville Brewing Company,Kernersville,Brewpub/Brewery,   21,2016,https://www.ratebeer.com/brewers/kernersville-brewing-company/26557/
 Kettell Beerworks,Banner Elk,Brewpub/Brewery,   24,2014,https://www.ratebeer.com/brewers/kettell-beerworks/19320/
 Kettell Beerworks,Banner Elk,Microbrewery,   4,2019,https://www.ratebeer.com/brewers/kettell-beerworks/41459/
 Kind Beers,Charlotte,Client Brewer,   6,2009,https://www.ratebeer.com/brewers/kind-beers/11059/
 King Canary Brewing Company,Mooresville,Microbrewery,   25,2018,https://www.ratebeer.com/brewers/king-canary-brewing-company/35391/
 Koi Pond Brewing Company,Rocky Mount,Microbrewery,   42,2016,https://www.ratebeer.com/brewers/koi-pond-brewing-company/27392/
 Lake Gaston Brewing Company,Fayetteville,Microbrewery,   8,2018,https://www.ratebeer.com/brewers/lake-gaston-brewing-company/34279/
 Lazy Hiker Brewing Company,Franklin,Microbrewery,   56,2015,https://www.ratebeer.com/brewers/lazy-hiker-brewing-company/23372/
 Legion Brewing,Charlotte,Brewpub,   132,2016,https://www.ratebeer.com/brewers/legion-brewing/25918/
 Lenny Boy Brewing Company,Charlotte,Microbrewery,   100,2014,https://www.ratebeer.com/brewers/lenny-boy-brewing-company/19711/
 Lesser-Known Beer Co,Winston-Salem,Microbrewery,   3,2023,https://www.ratebeer.com/brewers/lesser-known-beer-co/50978/
 Liquid Roots Brewing Project,Lenoir,Microbrewery,   10,2021,https://www.ratebeer.com/brewers/liquid-roots-brewing-project/45585/
 Little Brother Brewing,Greensboro,Brewpub/Brewery,   30,2018,https://www.ratebeer.com/brewers/little-brother-brewing/34190/
 Little City Brewing & Provisions Company,Raleigh ,Brewpub,   21,2017,https://www.ratebeer.com/brewers/little-city-brewing-provisions-company/30623/
 Loe's Brewing Company,Lenoir,Brewpub,   1,2018,https://www.ratebeer.com/brewers/loe39s-brewing-company/36992/
 Lonerider Brewing Company,Raleigh,Microbrewery,   90,2009,https://www.ratebeer.com/brewers/lonerider-brewing-company/10161/
 Lookout Brewing Company,Black Mountain,Microbrewery,   58,2013,https://www.ratebeer.com/brewers/lookout-brewing-company/16777/
 Lost Colony Brewery and Café,Manteo,Brewpub/Brewery,   19,2011,https://www.ratebeer.com/brewers/lost-colony-brewery-and-cafe/15028/
 Lost Province Brewing,Boone,Brewpub/Brewery,   72,2014,https://www.ratebeer.com/brewers/lost-province-brewing/21169/
 Lost Worlds Brewing,Cornelius,Microbrewery,   4,2021,https://www.ratebeer.com/brewers/lost-worlds-brewing/46757/
 Lower Left Brewing Co.,Charlotte,Microbrewery,   21,2019,https://www.ratebeer.com/brewers/lower-left-brewing-co/41471/
 Lynnwood Grill & Brewing Concern,Raleigh,Brewpub/Brewery,   41,2014,https://www.ratebeer.com/brewers/lynnwood-grill-brewing-concern/19642/
 Mad Co. Brew House,Marshall,Microbrewery,   6,2018,https://www.ratebeer.com/brewers/mad-co-brew-house/38028/
 Mad Mole Brewing,Wilmington,Microbrewery,   8,2018,https://www.ratebeer.com/brewers/mad-mole-brewing/37995/
 Makai Brewing Company,Ocean Isle Beach,Microbrewery,   26,2018,https://www.ratebeer.com/brewers/makai-brewing-company/35399/
 Mica Town Brewing Company,Marion,Microbrewery,   9,2018,https://www.ratebeer.com/brewers/mica-town-brewing-company/38024/
 Middle James Brewing Company,Pineville ,Brewpub,   3,2020,https://www.ratebeer.com/brewers/middle-james-brewing-company/42460/
 Midnight Mulligan Brewing,Charlotte,Brewpub,   8,2022,https://www.ratebeer.com/brewers/midnight-mulligan-brewing/49912/
 Mill Whistle Brewing,Beaufort,Microbrewery,   16,2016,https://www.ratebeer.com/brewers/mill-whistle-brewing/27394/
 Mills River Brewing Co.,Mills River,Brewpub,   17,2015,https://www.ratebeer.com/brewers/mills-river-brewing-co/25576/
 Mordecai Beverage Company,Raleigh ,Microbrewery,   4,2019,https://www.ratebeer.com/brewers/mordecai-beverage-company/41490/
 Morgan Ridge Vineyards & Brewhouse,Gold Hill,Brewpub/Brewery,   40,2016,https://www.ratebeer.com/brewers/morgan-ridge-vineyards-brewhouse/28195/
 Mother Earth Brewing Company,Kinston,Microbrewery,   43,2009,https://www.ratebeer.com/brewers/mother-earth-brewing-company/10567/
